,Unnamed: 0,Season,Name,Transfer Sum,From,FromCountry,FromLanguage,FromLanguageFamily,To,ToCountry,ToLanguage,ToLanguageFamily
1610,1610,13/14,François Affolter,500 Tsd. €,BSC Young Boys,Switzerland,German,Germanic,FC Luzern,Switzerland,German,Germanic
1638,1638,12/13,Stephan Andrist,Leihe,FC Basel,Switzerland,German,Germanic,FC Luzern,Switzerland,German,Germanic
1641,1641,12/13,Burim Kukeli,ablösefrei,FC Luzern,Switzerland,German,Germanic,FC Zürich,Switzerland,German,Germanic
1647,1647,12/13,Nelson Ferreira,?,FC Luzern,Switzerland,German,Germanic,FC Thun,Switzerland,German,Germanic
1650,1650,11/12,Darío Lezcano,850 Tsd. €,FC Thun,Switzerland,German,Germanic,FC Luzern,Switzerland,German,Germanic
1655,1655,11/12,Florian Stahel,?,FC Zürich,Switzerland,German,Germanic,FC Luzern,Switzerland,German,Germanic
1656,1656,11/12,Nick Proschwitz,?,FC Thun,Switzerland,German,Germanic,FC Luzern,Switzerland,German,Germanic
1658,1658,11/12,Xavier Hochstrasser,?,BSC Young Boys,Switzerland,German,Germanic,FC Luzern,Switzerland,German,Germanic
1666,1666,11/12,Dusan Veskovac,160 Tsd. €,FC Luzern,Switzerland,German,Germanic,BSC Young Boys,Switzerland,German,Germanic
1667,1667,11/12,Cristian Ianu,50 Tsd. €,FC Luzern,Switzerland,German,Germanic,FC Sion,Switzerland,French,Romance
1670,1670,11/12,Elsad Zverotic,ablösefrei,FC Luzern,Switzerland,German,Germanic,BSC Young Boys,Switzerland,German,Germanic
2035,2035,20/21,Eric Tia,ablösefrei,FC Luzern,Switzerland,German,Germanic,Xamax,Switzerland,French,Romance
2038,2038,20/21,Michael Kempter,ablösefrei,FC Zürich,Switzerland,German,Germanic,Xamax,Switzerland,French,Romance
2039,2039,20/21,Pedro Teixeira,?,BSC Young Boys,Switzerland,German,Germanic,Xamax,Switzerland,French,Romance
2043,2043,20/21,Yves Kaiser,?,FC Basel,Switzerland,German,Germanic,Xamax,Switzerland,French,Romance
2051,2051,20/21,Geoffroy Serey Dié,ablösefrei,Xamax,Switzerland,French,Romance,FC Sion,Switzerland,French,Romance
2061,2061,20/21,Gaëtan Karlen,ablösefrei,Xamax,Switzerland,French,Romance,FC Sion,Switzerland,French,Romance
2062,2062,20/21,Musa Araz,?,Xamax,Switzerland,French,Romance,FC Sion,Switzerland,French,Romance
2072,2072,19/20,André Neitzke,ablösefrei,FC Sion,Switzerland,French,Romance,Xamax,Switzerland,French,Romance
2074,2074,19/20,Taulant Seferi,Leihe,BSC Young Boys,Switzerland,German,Germanic,Xamax,Switzerland,French,Romance
2075,2075,19/20,Léo Seydoux,Leihe,BSC Young Boys,Switzerland,German,Germanic,Xamax,Switzerland,French,Romance
2076,2076,19/20,Maren Haile-Selassie,Leihe,FC Zürich,Switzerland,German,Germanic,Xamax,Switzerland,French,Romance
2077,2077,19/20,Freddy Mveng,?,FC Sion,Switzerland,French,Romance,Xamax,Switzerland,French,Romance
2086,2086,19/20,Kemal Ademi,ablösefrei,Xamax,Switzerland,French,Romance,FC Basel,Switzerland,German,Germanic
2093,2093,19/20,Loïc Jacot,?,Xamax,Switzerland,French,Romance,FC Luzern,Switzerland,German,Germanic
2107,2107,18/19,Geoffroy Serey Dié,Leihe,FC Basel,Switzerland,German,Germanic,Xamax,Switzerland,French,Romance
2108,2108,18/19,Afimico Pululu,Leihe,FC Basel,Switzerland,German,Germanic,Xamax,Switzerland,French,Romance
2119,2119,18/19,Loïc Jacot,Leihe,Xamax,Switzerland,French,Romance,FC Luzern,Switzerland,German,Germanic
2133,2133,17/18,Linus Obexer,Leihe,BSC Young Boys,Switzerland,German,Germanic,Xamax,Switzerland,French,Romance
2142,2142,17/18,Pedro Teixeira,?,Xamax,Switzerland,French,Romance,BSC Young Boys,Switzerland,German,Germanic
2149,2149,16/17,Raphaël Nuzzolo,ablösefrei,BSC Young Boys,Switzerland,German,Germanic,Xamax,Switzerland,French,Romance
2156,2156,16/17,Kwadwo Duah,Leihe,BSC Young Boys,Switzerland,German,Germanic,Xamax,Switzerland,French,Romance
2177,2177,16/17,Freddy Mveng,ablösefrei,Xamax,Switzerland,French,Romance,FC Sion,Switzerland,French,Romance
2182,2182,16/17,Mickaël Facchinetti,?,Xamax,Switzerland,French,Romance,FC Thun,Switzerland,German,Germanic
2190,2190,15/16,Chadrac Akolo,Leihe,FC Sion,Switzerland,French,Romance,Xamax,Switzerland,French,Romance
2193,2193,15/16,Samuel Afum,Leihe,BSC Young Boys,Switzerland,German,Germanic,Xamax,Switzerland,French,Romance
2283,2283,11/12,Nabil Souni,-,Xamax,Switzerland,French,Romance,Xamax,Switzerland,French,Romance
2284,2284,11/12,Jonathan Lara,-,Xamax,Switzerland,French,Romance,Xamax,Switzerland,French,Romance
2287,2287,20/21,Nikola Milosavljevic,ablösefrei,FC Sion,Switzerland,French,Romance,AC Bellinzona,Switzerland,Italian,Romance
2294,2294,20/21,Ivan Lurati,Leihe,FC Sion,Switzerland,French,Romance,AC Bellinzona,Switzerland,Italian,Romance
2311,2311,19/20,Ivan Lurati,Leihe,FC Sion,Switzerland,French,Romance,AC Bellinzona,Switzerland,Italian,Romance
2315,2315,19/20,Nikola Milosavljevic,Leihe,FC Sion,Switzerland,French,Romance,AC Bellinzona,Switzerland,Italian,Romance
2345,2345,18/19,Léo Farine,?,Xamax,Switzerland,French,Romance,AC Bellinzona,Switzerland,Italian,Romance
2479,2479,13/14,Fulvio Sulmoni,Leih-Ende,FC Thun,Switzerland,German,Germanic,AC Bellinzona,Switzerland,Italian,Romance
2489,2489,13/14,Fulvio Sulmoni,ablösefrei,AC Bellinzona,Switzerland,Italian,Romance,FC Thun,Switzerland,German,Germanic
2494,2494,13/14,Michaël Perrier,ablösefrei,AC Bellinzona,Switzerland,Italian,Romance,FC Sion,Switzerland,French,Romance
2508,2508,13/14,Fulvio Sulmoni,Leihe,AC Bellinzona,Switzerland,Italian,Romance,FC Thun,Switzerland,German,Germanic
2509,2509,13/14,Lukas Schenkel,?,AC Bellinzona,Switzerland,Italian,Romance,FC Thun,Switzerland,German,Germanic
2521,2521,12/13,Simon Grether,Leihe,FC Basel,Switzerland,German,Germanic,AC Bellinzona,Switzerland,Italian,Romance
2522,2522,12/13,Nico Siegrist,Leihe,FC Luzern,Switzerland,German,Germanic,AC Bellinzona,Switzerland,Italian,Romance
2526,2526,12/13,Pascal Schürpf,Leihe,FC Basel,Switzerland,German,Germanic,AC Bellinzona,Switzerland,Italian,Romance
2529,2529,12/13,René Borkovic,?,FC Zürich,Switzerland,German,Germanic,AC Bellinzona,Switzerland,Italian,Romance
2533,2533,12/13,Kwang-ryong Pak,Leihe,FC Basel,Switzerland,German,Germanic,AC Bellinzona,Switzerland,Italian,Romance
2536,2536,12/13,Enzo Ruiz,Leih-Ende,FC Luzern,Switzerland,German,Germanic,AC Bellinzona,Switzerland,Italian,Romance
2549,2549,12/13,Enzo Ruiz,Leihe,AC Bellinzona,Switzerland,Italian,Romance,FC Luzern,Switzerland,German,Germanic
2552,2552,12/13,Nico Siegrist,Leih-Ende,AC Bellinzona,Switzerland,Italian,Romance,FC Luzern,Switzerland,German,Germanic
2553,2553,11/12,Hakan Yakin,ablösefrei,FC Luzern,Switzerland,German,Germanic,AC Bellinzona,Switzerland,Italian,Romance
2556,2556,11/12,Markus Neumayr,ablösefrei,FC Thun,Switzerland,German,Germanic,AC Bellinzona,Switzerland,Italian,Romance
