,Season,Name,Transfer Sum,From,FromCountry,FromLanguage,FromLanguageFamily,To,ToCountry,ToLanguage,ToLanguageFamily
113,Abgänge 17/18,Djordje Nikolic,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Schaffhausen,Switzerland,German,Germanic
114,Abgänge 17/18,Adama Traoré,?,FC Basel 1893,Switzerland,German,Germanic,Göztepe,Turkey,Turkish,Turkic
115,Abgänge 17/18,Omar Gaber,Leihe,FC Basel 1893,Switzerland,German,Germanic,Los Angeles FC,United States,English,Germanic
116,Abgänge 17/18,Pedro Pacheco,Leihe,FC Basel 1893,Switzerland,German,Germanic,Rapperswil-Jona,Switzerland,German,Germanic
117,Abgänge 17/18,Cedric Itten,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC St. Gallen,Switzerland,German,Germanic
118,Abgänge 17/18,Dominik Schmid,Leihe,FC Basel 1893,Switzerland,German,Germanic,Lausanne-Sport,Switzerland,French,Romance
119,Abgänge 17/18,Djordje Nikolic,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Thun,Switzerland,German,Germanic
120,Abgänge 17/18,Alexander Fransson,Leihe,FC Basel 1893,Switzerland,German,Germanic,Lausanne-Sport,Switzerland,French,Romance
121,Abgänge 17/18,Dereck Kutesa,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Luzern,Switzerland,German,Germanic
122,Abgänge 17/18,Veljko Simic,-,FC Basel 1893,Switzerland,German,Germanic,Vereinslos,Vereinslos,Vereinslos,Vereinslos
123,Abgänge 17/18,Matías Delgado,-,FC Basel 1893,Switzerland,German,Germanic,Karriereende,Karriereende,Karriereende,Karriereende
124,Zugänge 16/17,Éder Balanta,"3,50 Mio. €",River Plate,Argentina,Spanish,Romance,FC Basel 1893,Switzerland,German,Germanic
125,Zugänge 16/17,Mohamed Elyounoussi,"3,20 Mio. €",Molde,Norway,Norwegian,Germanic,FC Basel 1893,Switzerland,German,Germanic
126,Zugänge 16/17,Seydou Doumbia,,AS Rom,Italy,Italian,Romance,FC Basel 1893,Switzerland,German,Germanic
127,Zugänge 16/17,Blas Riveros,"1,70 Mio. €",Olimpia,Paraguay,Spanish,Romance,FC Basel 1893,Switzerland,German,Germanic
128,Zugänge 16/17,Omar Gaber,"1,65 Mio. €",Zamalek,Egypt,Arabic,Semitic,FC Basel 1893,Switzerland,German,Germanic
129,Zugänge 16/17,Kevin Bua,"1,50 Mio. €",FC Zürich,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
130,Zugänge 16/17,Geoffroy Serey Dié,"1,20 Mio. €",VfB Stuttgart,Germany,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
131,Zugänge 16/17,Djordje Nikolic,300 Tsd. €,Jagodina,Serbia,Serbian,Slavic,FC Basel 1893,Switzerland,German,Germanic
132,Zugänge 16/17,Raoul Petretta,-,FC Basel U21,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
133,Zugänge 16/17,Pedro Pacheco,-,FC Basel U21,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
134,Zugänge 16/17,Eray Cömert,-,FC Basel U18,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
135,Abgänge 16/17,Breel Embolo,"26,50 Mio. €",FC Basel 1893,Switzerland,German,Germanic,FC Schalke 04,Germany,German,Germanic
136,Abgänge 16/17,Birkir Bjarnason,"2,00 Mio. €",FC Basel 1893,Switzerland,German,Germanic,Aston Villa,England,English,Germanic
137,Abgänge 16/17,Naser Aliji,175 Tsd. €,FC Basel 1893,Switzerland,German,Germanic,1.FC K'lautern,Germany,German,Germanic
138,Abgänge 16/17,Behrang Safari,ablösefrei,FC Basel 1893,Switzerland,German,Germanic,Malmö FF,Sweden,Swedish,Germanic
139,Abgänge 16/17,Musa Araz,ablösefrei,FC Basel 1893,Switzerland,German,Germanic,Lausanne-Sport,Switzerland,French,Romance
140,Abgänge 16/17,Veljko Simic,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Chiasso,Switzerland,Italian,Romance
141,Abgänge 16/17,Ahmed Hamoudi,ablösefrei,FC Basel 1893,Switzerland,German,Germanic,Al-Batin,Saudi Arabia,Arabic,Semitic
142,Abgänge 16/17,Jean-Paul Boëtius,Leihe,FC Basel 1893,Switzerland,German,Germanic,KRC Genk ,Belgium,French,Romance
143,Abgänge 16/17,Eray Cömert,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Lugano,Switzerland,Italian,Romance
144,Abgänge 16/17,Cedric Itten,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Luzern,Switzerland,German,Germanic
145,Abgänge 16/17,Zdravko Kuzmanovic,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Málaga,Spain,Spanish,Romance
146,Abgänge 16/17,Nicolas Hunziker,Leihe,FC Basel 1893,Switzerland,German,Germanic,Grasshoppers,Switzerland,German,Germanic
147,Abgänge 16/17,Wálter Samuel,-,FC Basel 1893,Switzerland,German,Germanic,Karriereende,Karriereende,Karriereende,Karriereende
148,Abgänge 16/17,Philipp Degen,-,FC Basel 1893,Switzerland,German,Germanic,Karriereende,Karriereende,Karriereende,Karriereende
149,Abgänge 16/17,Robin Huser,-,FC Basel 1893,Switzerland,German,Germanic,FC Basel U21,Switzerland,German,Germanic
150,Zugänge 15/16,Andraz Sporar,"3,80 Mio. €",NK Olimpija,Slovenia,Slovene,Slavic,FC Basel 1893,Switzerland,German,Germanic
151,Zugänge 15/16,Zdravko Kuzmanovic,"2,00 Mio. €",Inter Mailand,Italy,Italian,Romance,FC Basel 1893,Switzerland,German,Germanic
152,Zugänge 15/16,Birkir Bjarnason,"2,00 Mio. €",Delfino Pescara,Italy,Italian,Romance,FC Basel 1893,Switzerland,German,Germanic
153,Zugänge 15/16,Jean-Paul Boëtius,"2,00 Mio. €",Feyenoord,Netherlands,Dutch,Germanic,FC Basel 1893,Switzerland,German,Germanic
154,Zugänge 15/16,Daniel Höegh,"1,50 Mio. €",Odense BK,Denmark,Danish,Germanic,FC Basel 1893,Switzerland,German,Germanic
155,Zugänge 15/16,Renato Steffen,"1,20 Mio. €",BSC Young Boys,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
156,Zugänge 15/16,Manuel Akanji,700 Tsd. €,FC Winterthur,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
157,Zugänge 15/16,Michael Lang,ablösefrei,Grasshoppers,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
158,Zugänge 15/16,Marc Janko,ablösefrei,Sydney FC,Australia,English,Germanic,FC Basel 1893,Switzerland,German,Germanic
159,Zugänge 15/16,Dereck Kutesa,?,Servette FC,Switzerland,French,Romance,FC Basel 1893,Switzerland,German,Germanic
160,Zugänge 15/16,Alexander Fransson,?,IFK Norrköping,Sweden,Swedish,Germanic,FC Basel 1893,Switzerland,German,Germanic
161,Zugänge 15/16,Cedric Itten,-,FC Basel U21,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
162,Zugänge 15/16,Nicolas Hunziker,-,FC Basel U21,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
163,Zugänge 15/16,Naser Aliji,Leih-Ende,FC Vaduz,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
164,Abgänge 15/16,Mohamed Elneny,"12,50 Mio. €",FC Basel 1893,Switzerland,German,Germanic,FC Arsenal,England,English,Germanic
165,Abgänge 15/16,Derlis González,"9,40 Mio. €",FC Basel 1893,Switzerland,German,Germanic,Dynamo Kiew,Ukraine,Ukrainian,Slavic
166,Abgänge 15/16,Fabian Schär,"4,00 Mio. €",FC Basel 1893,Switzerland,German,Germanic,TSG Hoffenheim,Germany,German,Germanic
167,Abgänge 15/16,Fabian Frei,"3,60 Mio. €",FC Basel 1893,Switzerland,German,Germanic,1.FSV Mainz 05,Germany,German,Germanic
168,Abgänge 15/16,Shkëlzen Gashi,"2,70 Mio. €",FC Basel 1893,Switzerland,German,Germanic,Colorado Rapids,United States,English,Germanic
169,Abgänge 15/16,Giovanni Sio,"2,00 Mio. €",FC Basel 1893,Switzerland,German,Germanic,Stade Rennes,France,French,Romance
170,Abgänge 15/16,Albian Ajeti,"1,00 Mio. €",FC Basel 1893,Switzerland,German,Germanic,FC Augsburg,Germany,German,Germanic
171,Abgänge 15/16,Veljko Simic,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Schaffhausen,Switzerland,German,Germanic
172,Abgänge 15/16,Kwang-ryong Pak,ablösefrei,FC Basel 1893,Switzerland,German,Germanic,FC Biel-Bienne,Switzerland,German,Germanic
173,Abgänge 15/16,Pascal Albrecht,ablösefrei,FC Basel 1893,Switzerland,German,Germanic,St. Gallen U21,Switzerland,German,Germanic
174,Abgänge 15/16,Dereck Kutesa,Leihe,FC Basel 1893,Switzerland,German,Germanic,Servette FC,Switzerland,French,Romance
175,Abgänge 15/16,Zdravko Kuzmanovic,Leihe,FC Basel 1893,Switzerland,German,Germanic,Udinese Calcio,Italy,Italian,Romance
176,Abgänge 15/16,Mirko Salvi,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Lugano,Switzerland,Italian,Romance
177,Abgänge 15/16,Yoichiro Kakitani,?,FC Basel 1893,Switzerland,German,Germanic,Cerezo Osaka,Japan,Japanese,Japonic
178,Abgänge 15/16,Ahmed Hamoudi,Leihe,FC Basel 1893,Switzerland,German,Germanic,Zamalek,Egypt,Arabic,Semitic
179,Abgänge 15/16,Gastón Sauro,?,FC Basel 1893,Switzerland,German,Germanic,Columbus Crew,United States,English,Germanic
180,Abgänge 15/16,Musa Araz,Leihe,FC Basel 1893,Switzerland,German,Germanic,FC Winterthur,Switzerland,German,Germanic
181,Abgänge 15/16,Marco Streller,-,FC Basel 1893,Switzerland,German,Germanic,Karriereende,Karriereende,Karriereende,Karriereende
182,Abgänge 15/16,Arlind Ajeti,-,FC Basel 1893,Switzerland,German,Germanic,Vereinslos,Vereinslos,Vereinslos,Vereinslos
183,Abgänge 15/16,Ivan Ivanov,-,FC Basel 1893,Switzerland,German,Germanic,Vereinslos,Vereinslos,Vereinslos,Vereinslos
184,Zugänge 14/15,Derlis González,"3,00 Mio. €",Benfica,Portugal,Portuguese,Romance,FC Basel 1893,Switzerland,German,Germanic
185,Zugänge 14/15,Marek Suchy,"2,50 Mio. €",Spartak Moskau,Russia,Russian,Slavic,FC Basel 1893,Switzerland,German,Germanic
186,Zugänge 14/15,Tomas Vaclík,"2,00 Mio. €",Sparta Prag,Czech Republic,Czech,Slavic,FC Basel 1893,Switzerland,German,Germanic
187,Zugänge 14/15,Adama Traoré,"1,50 Mio. €",Vit. Guimarães,Portugal,Portuguese,Romance,FC Basel 1893,Switzerland,German,Germanic
188,Zugänge 14/15,Shkëlzen Gashi,"1,50 Mio. €",Grasshoppers,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
189,Zugänge 14/15,Yoichiro Kakitani,"1,50 Mio. €",Cerezo Osaka,Japan,Japanese,Japonic,FC Basel 1893,Switzerland,German,Germanic
190,Zugänge 14/15,Luca Zuffi,"1,00 Mio. €",FC Thun,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
191,Zugänge 14/15,Ahmed Hamoudi,800 Tsd. €,Smouha,Egypt,Arabic,Semitic,FC Basel 1893,Switzerland,German,Germanic
192,Zugänge 14/15,Wálter Samuel,ablösefrei,Inter Mailand,Italy,Italian,Romance,FC Basel 1893,Switzerland,German,Germanic
193,Zugänge 14/15,Darko Jevtic,Leih-Ende,Lech Posen,Poland,Polish,Slavic,FC Basel 1893,Switzerland,German,Germanic
194,Zugänge 14/15,Albian Ajeti,-,FC Basel U21,Switzerland,German,Germanic,FC Basel 1893,Switzerland,German,Germanic
