Column1;Season;Name;Transfer Sum;From;FromCountry;FromLanguage;FromLanguageFamily;To;ToCountry;ToLanguage;ToLanguageFamily
2204;15/16;Fabio Lo Vacco;ablösefrei;Xamax;Switzerland;French;Romance;Chaux-de-Fonds;Switzerland;French;Romance
2205;15/16;Jérôme Schneider;ablösefrei;Xamax;Switzerland;French;Romance;FC Colombier;Switzerland;French;Romance
2206;15/16;Michaël Rodriguez;ablösefrei;Xamax;Switzerland;French;Romance;FC Black Stars;Switzerland;German;Germanic
2207;15/16;Julien Bize;Leihe;Xamax;Switzerland;French;Romance;FC Fribourg;Switzerland;French;Romance
2208;15/16;Yanique Edoh;Leihe;Xamax;Switzerland;French;Romance;FC Dietikon;Switzerland;German;Germanic
2209;15/16;Mael Erard;Leihe;Xamax;Switzerland;French;Romance;FC Colombier;Switzerland;French;Romance
2210;15/16;Yassine El Allaoui;Leihe;Xamax;Switzerland;French;Romance;Yverdon-Sport;Switzerland;French;Romance
2211;15/16;Emmanuel Mast;Leihe;Xamax;Switzerland;French;Romance;SR Delémont;Switzerland;French;Romance
2212;14/15;Marco Delley;ablösefrei;Etoile Carouge;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2213;14/15;David Sauget;ablösefrei;FC Sochaux;France;French;Romance;Xamax;Switzerland;French;Romance
2214;14/15;Freddy Mveng;?;Lausanne-Sport;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2215;14/15;Agonit Sallaj;?;Le Mont LS;France;French;Romance;Xamax;Switzerland;French;Romance
2216;14/15;Pietro Di Nardo;?;FC Biel-Bienne;Switzerland;German;Germanic;Xamax;Switzerland;French;Romance
2217;14/15;Mehdi Challandes;?;FC Biel-Bienne;Switzerland;German;Germanic;Xamax;Switzerland;French;Romance
2218;14/15;Bastien Oberli;?;BEJUNE U18;Switzerland;Italian;Romance;Xamax;Switzerland;French;Romance
2219;14/15;Hervé Epitaux;-;BEJUNE U18;Switzerland;Italian;Romance;Xamax;Switzerland;French;Romance
2220;14/15;Astor Kilezi;Leih-Ende;SR Delémont;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2221;14/15;Astor Kilezi;ablösefrei;Xamax;Switzerland;French;Romance;SR Delémont;Switzerland;French;Romance
2222;14/15;Kevin Pianaro;ablösefrei;Xamax;Switzerland;French;Romance;Team Vaud U21;Switzerland;French;Romance
2223;14/15;Marc Nicati;ablösefrei;Xamax;Switzerland;French;Romance;Chaux-de-Fonds;Switzerland;French;Romance
2224;14/15;Breogan Espasandin;ablösefrei;Xamax;Switzerland;French;Romance;FC Biel-Bienne;Switzerland;German;Germanic
2225;14/15;Scottie Nkipassa;ablösefrei;Xamax;Switzerland;French;Romance;FC Corcelles;Switzerland;French;Romance
2226;14/15;Ricardo Da Costa;ablösefrei;Xamax;Switzerland;French;Romance;Le Locle Sports;Switzerland;French;Romance
2227;14/15;Astor Kilezi;Leihe;Xamax;Switzerland;French;Romance;SR Delémont;Switzerland;French;Romance
2228;14/15;Hervé Epitaux;Leihe;Xamax;Switzerland;French;Romance;SR Delémont;Switzerland;French;Romance
2229;14/15;Caryl Ramseyer;?;Xamax;Switzerland;French;Romance;Unbekannt;Unbekannt;Unbekannt;Unbekannt
2230;14/15;Aurélien Ziegler;?;Xamax;Switzerland;French;Romance;Unbekannt;Unbekannt;Unbekannt;Unbekannt
2231;13/14;Laurent Walthert;ablösefrei;FC Biel-Bienne;Switzerland;German;Germanic;Xamax;Switzerland;French;Romance
2232;13/14;Charles-André Doudin;ablösefrei;FC Biel-Bienne;Switzerland;German;Germanic;Xamax;Switzerland;French;Romance
2233;13/14;Mike Gomes;ablösefrei;Servette FC;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2234;13/14;Kiliann Witschi;ablösefrei;FC Lugano;Switzerland;Italian;Romance;Xamax;Switzerland;French;Romance
2235;13/14;Jérôme Schneider;ablösefrei;Servette FC;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2236;13/14;Loic Chatton;ablösefrei;FC Sion U21;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2237;13/14;Jérémy Randaxhe;Leihe;FC Basel U21;Switzerland;German;Germanic;Xamax;Switzerland;French;Romance
2238;13/14;Aurélien Ziegler;?;FC Alle;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2239;13/14;Yassine El Allaoui;?;FC Serrières;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2240;13/14;Jordan Mokou;?;Xamax Jugend;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2241;13/14;Luther-King Adjei;Leih-Ende;FC Sion U21;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
2242;13/14;Robin Enrico;Leih-Ende;Yverdon-Sport;Switzerland;French;Romance;Xamax;Switzerland;French;Romance
