Country_to;Capital_to;Latitude_to;Longitude_to;Season;Name;Transfer Sum;From;FromCountry;FromLanguage;FromLanguageFamily;To;ToCountry;ToLanguage;ToLanguageFamily;Country_from;Capital_from;Latitude_from;Longitude_from
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Salvatore Guarino;?;FC Chiasso;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Mirko Facchinetti;Leihe;FC Schaffhausen;Switzerland;German;Germanic;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;André Poças;?;Team Ticino U18;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Bruno Gennari;Leih-Ende;FC Mendrisio;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Michael Mele;-;Bellinzona Jgd.;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;David Stojanov;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;FC Köniz;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Vladan Milošević;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;FC Cadenazzo;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Philippines;Manila;14.599512;120.98422;Abgänge 17/18;Carlo Polli;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;Stallion FC;Philippines;Filipino;Unknown;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Bruno Gennari;Leihe;AC Bellinzona;Switzerland;Italian;Romance;FC Mendrisio;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Emanuele Guidotti;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;SC Buochs;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Moreno Elia;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;AC Taverne;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Italy;Rome;41.902784;12.496366;Abgänge 17/18;Giampaolo Calzi;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;Olginatese;Italy;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Mate Bilinovac;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;FC Chiasso;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Giorgio Marcionelli;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;AS Novazzano;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Michel Maconi;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;ASC Gordola;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Bruno Gennari;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;FC Chiasso;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Roberto Decristophoris;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;AC Sementina;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Nikola Simunovacki;Leihe;AC Bellinzona;Switzerland;Italian;Romance;FC Gambarogno;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;José Grilo;Leihe;AC Bellinzona;Switzerland;Italian;Romance;FC Lugano U21;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
;;;;Abgänge 17/18;Simon Fieschi;?;AC Bellinzona;Switzerland;Italian;Romance;Unbekannt;Unbekannt;Unbekannt;Unbekannt;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Mirko Facchinetti;Leih-Ende;AC Bellinzona;Switzerland;Italian;Romance;FC Schaffhausen;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
;;;;Abgänge 17/18;Patryk Parol;-;AC Bellinzona;Switzerland;Italian;Romance;Vereinslos;Vereinslos;Vereinslos;Vereinslos;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 16/17;Mate Bilinovac;ablösefrei;FC Locarno;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 16/17;Giampaolo Calzi;ablösefrei;Varese;Italy;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Italy;Rome;41.902784;12.496366
Switzerland;Bern;46.947974;7.447447;Zugänge 16/17;Giorgio Marcionelli;ablösefrei; AS Castello;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 16/17;Daniel Mele;ablösefrei;US Giubiasco;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 16/17;David Stojanov;ablösefrei;FC Locarno;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 16/17;Nikola Simunovacki;ablösefrei;FC Lugano U21;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 16/17;Antonio Felitti;Leihe;FC Chiasso;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 16/17;Carlo Polli;?;Stallion FC;Philippines;Filipino;Unknown;AC Bellinzona;Switzerland;Italian;Romance;Philippines;Manila;14.599512;120.98422
Switzerland;Bern;46.947974;7.447447;Zugänge 16/17;José Grilo;?;Team Ticino U18;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 16/17;Danilo Sperduti;-;Vereinslos;Vereinslos;Vereinslos;Vereinslos;AC Bellinzona;Switzerland;Italian;Romance;;;;
Switzerland;Bern;46.947974;7.447447;Zugänge 16/17;Roberto Decristophoris;-;Bellinzona Jgd.;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 16/17;Nicolás Ceolin;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;US Arbedo;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 16/17;Andrea Cappelletti;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;Vedeggio;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 16/17;Branko Bankovic;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;AC Taverne;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 16/17;Bruno Gennari;Leihe;AC Bellinzona;Switzerland;Italian;Romance;FC Locarno;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 16/17;Samuele Preisig;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;SC Balerna;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 16/17;Daniele Facchinetti;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;FC Gambarogno;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 16/17;Borce Manev;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;AS Minusio;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 16/17;William Marinelli;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;US Arbedo;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 16/17;Davide Ghilardi;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;FC Gambarogno;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 16/17;Alessio Penta;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;FC Gambarogno;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 16/17;Daniel Mele;ablösefrei;AC Bellinzona;Switzerland;Italian;Romance;AC Taverne;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 16/17;Stipe Simunac;?;AC Bellinzona;Switzerland;Italian;Romance;US Arbedo;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 15/16;Vladan Milošević;ablösefrei;FC Locarno;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 15/16;Elia Boari;ablösefrei;FC Ascona;Switzerland;Italian;Romance;AC Bellinzona;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
