Country_to;Capital_to;Latitude_to;Longitude_to;Season;Name;Transfer Sum;From;FromCountry;FromLanguage;FromLanguageFamily;To;ToCountry;ToLanguage;ToLanguageFamily;Country_from;Capital_from;Latitude_from;Longitude_from
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Arthur Cabral;4,40 Mio. €;Palmeiras;Brazil;Portuguese;Romance;FC Basel 1893;Switzerland;German;Germanic;Brazil;Brasília;-15.794229;-47.882166
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Kaly Sene;4,00 Mio. €;Juventus U19;Italy;Italian;Romance;FC Basel 1893;Switzerland;German;Germanic;Italy;Rome;41.902784;12.496366
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Edon Zhegrova;3,00 Mio. €;KRC Genk;Belgium;French;Romance;FC Basel 1893;Switzerland;German;Germanic;Belgium;Brussels;50.85034;4.35171
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Andrea Padula;450 Tsd. €;FC Wil 1900;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Heinz Lindner;ablösefrei;Wehen Wiesbaden;Germany;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Germany;Berlin;52.520007;13.404954
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Pajtim Kasami;ablösefrei;FC Sion;Switzerland;French;Romance;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Jorge;Leihe;AS Monaco;France;French;Romance;FC Basel 1893;Switzerland;German;Germanic;France;Paris;48.856614;2.352222
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Timm Klose;Leihe;Norwich City;England;English;Germanic;FC Basel 1893;Switzerland;German;Germanic;;;;
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Felix Gebhardt;-;FC Basel U18;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Lirik Vishi;-;FC Basel U21;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 20/21;Liam Chipperfield;-;FC Basel U18;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Germany;Berlin;52.520007;13.404954;Abgänge 20/21;Omar Alderete;6,50 Mio. €;FC Basel 1893;Switzerland;German;Germanic;Hertha BSC;Germany;German;Germanic;Switzerland;Bern;46.947974;7.447447
France;Paris;48.856614;2.352222;Abgänge 20/21;Jonas Omlin;6,00 Mio. €;FC Basel 1893;Switzerland;German;Germanic;Montpellier;France;French;Romance;Switzerland;Bern;46.947974;7.447447
Denmark;Copenhagen;55.676097;12.568337;Abgänge 20/21;Blas Riveros;67 Tsd. €;FC Basel 1893;Switzerland;German;Germanic;Bröndby IF;Denmark;Danish;Germanic;Switzerland;Bern;46.947974;7.447447
Spain;Madrid;40.416775;-3.70379;Abgänge 20/21;Kevin Bua;ablösefrei;FC Basel 1893;Switzerland;German;Germanic;CD Leganés;Spain;Spanish;Romance;Switzerland;Bern;46.947974;7.447447
Cyprus;Nicosia;35.185566;33.382276;Abgänge 20/21;Kaly Sene;Leihe;FC Basel 1893;Switzerland;German;Germanic;Omonia Nikosia;Cyprus;Greek;Hellenic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 20/21;Yves Kaiser;?;FC Basel 1893;Switzerland;German;Germanic;NE Xamax;Switzerland;French;Romance;Switzerland;Bern;46.947974;7.447447
Turkey;Ankara;39.933364;32.859742;Abgänge 20/21;Kemal Ademi;?;FC Basel 1893;Switzerland;German;Germanic;Fenerbahce;Turkey;Turkish;Turkic;Switzerland;Bern;46.947974;7.447447
;;;;Abgänge 20/21;Dimitri Oberlin;-;FC Basel 1893;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos;Switzerland;Bern;46.947974;7.447447
;;;;Abgänge 20/21;Zdravko Kuzmanovic;-;FC Basel 1893;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos;Switzerland;Bern;46.947974;7.447447
;;;;Abgänge 20/21;Dominik Schmid;-;FC Basel 1893;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos;Switzerland;Bern;46.947974;7.447447
;;;;Abgänge 20/21;Martin Liechti;-;FC Basel 1893;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 19/20;Omar Alderete;1,00 Mio. €;Huracán;Columbia;Spanish;Romance;FC Basel 1893;Switzerland;German;Germanic;;;;
Switzerland;Bern;46.947974;7.447447;Zugänge 19/20;Kemal Ademi;ablösefrei;NE Xamax;Switzerland;French;Romance;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 19/20;Jasper van der Werff;Leihe;RB Salzburg;Austria;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Austria;Vienna;48.208174;16.373819
Switzerland;Bern;46.947974;7.447447;Zugänge 19/20;Emil Bergström;Leihe;FC Utrecht;Netherlands;Dutch;Germanic;FC Basel 1893;Switzerland;German;Germanic;Netherlands;Amsterdam;52.370216;4.895168
Switzerland;Bern;46.947974;7.447447;Zugänge 19/20;Ramires;Leihe;EC Bahia;Brazil;Portuguese;Romance;FC Basel 1893;Switzerland;German;Germanic;Brazil;Brasília;-15.794229;-47.882166
Switzerland;Bern;46.947974;7.447447;Zugänge 19/20;Orges Bunjaku;-;FC Basel U21;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 19/20;Mihailo Stevanovic;-;FC Basel U18;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 19/20;Gezim Pepsi;Leih-Ende;FC Aarau;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 19/20;Jozef Pukaj;-;FC Basel U21;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 19/20;Tician Tushi;-;FC Basel U21;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 19/20;Julian Von Moos;Leih-Ende;FC Wil 1900;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Austria;Vienna;48.208174;16.373819;Abgänge 19/20;Noah Okafor;11,20 Mio. €;FC Basel 1893;Switzerland;German;Germanic;RB Salzburg;Austria;German;Germanic;Switzerland;Bern;46.947974;7.447447
England;London;51.507351;-0.127758;Abgänge 19/20;Albian Ajeti;8,70 Mio. €;FC Basel 1893;Switzerland;German;Germanic;West Ham Utd.;England;English;Germanic;Switzerland;Bern;46.947974;7.447447
Belgium;Brussels;50.85034;4.35171;Abgänge 19/20;Éder Balanta;2,40 Mio. €;FC Basel 1893;Switzerland;German;Germanic;FC Brügge;Belgium;French;Romance;Switzerland;Bern;46.947974;7.447447
Norway;Oslo;59.913869;10.752245;Abgänge 19/20;Martin Hansen;ablösefrei;FC Basel 1893;Switzerland;German;Germanic;Strømsgodset;Norway;Norwegian;Germanic;Switzerland;Bern;46.947974;7.447447
Germany;Berlin;52.520007;13.404954;Abgänge 19/20;Marek Suchy;ablösefrei;FC Basel 1893;Switzerland;German;Germanic;FC Augsburg;Germany;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 19/20;Robin Huser;ablösefrei;FC Basel 1893;Switzerland;German;Germanic;FC Chiasso;Switzerland;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 19/20;Martin Liechti;Leihe;FC Basel 1893;Switzerland;German;Germanic;FC Winterthur;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Portugal;Lisbon;38.722252;-9.139337;Abgänge 19/20;Pedro Pacheco;?;FC Basel 1893;Switzerland;German;Germanic;Amarante;Portugal;Portuguese;Romance;Switzerland;Bern;46.947974;7.447447
England;London;51.507351;-0.127758;Abgänge 19/20;Aldo Kalulu;Leihe;FC Basel 1893;Switzerland;German;Germanic;Swansea City;England;English;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 19/20;Yves Kaiser;Leihe;FC Basel 1893;Switzerland;German;Germanic;FC Schaffhausen;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Belgium;Brussels;50.85034;4.35171;Abgänge 19/20;Dimitri Oberlin;Leihe;FC Basel 1893;Switzerland;German;Germanic;Zulte Waregem;Belgium;French;Romance;Switzerland;Bern;46.947974;7.447447
Spain;Madrid;40.416775;-3.70379;Abgänge 19/20;Neftali Manzambi;?;FC Basel 1893;Switzerland;German;Germanic;Sporting Gijón;Spain;Spanish;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 19/20;Gezim Pepsi;?;FC Basel 1893;Switzerland;German;Germanic;FC Winterthur;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 19/20;Julian Von Moos;Leihe;FC Basel 1893;Switzerland;German;Germanic;FC Wil 1900;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 19/20;Konstantinos Dimitriou;Leihe;FC Basel 1893;Switzerland;German;Germanic;FC Wil 1900;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
;;;;Abgänge 19/20;Signori Antonio;-;FC Basel 1893;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos;Switzerland;Bern;46.947974;7.447447
;;;;Abgänge 19/20;Geoffroy Serey Dié;-;FC Basel 1893;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos;Switzerland;Bern;46.947974;7.447447
Brazil;Brasília;-15.794229;-47.882166;Abgänge 19/20;Ramires;Leih-Ende;FC Basel 1893;Switzerland;German;Germanic;EC Bahia;Brazil;Portuguese;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 18/19;Silvan Widmer;4,50 Mio. €;Udinese Calcio;Italy;Italian;Romance;FC Basel 1893;Switzerland;German;Germanic;Italy;Rome;41.902784;12.496366
Switzerland;Bern;46.947974;7.447447;Zugänge 18/19;Dimitri Oberlin;4,10 Mio. €;RB Salzburg;Austria;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Austria;Vienna;48.208174;16.373819
Switzerland;Bern;46.947974;7.447447;Zugänge 18/19;Aldo Kalulu;2,10 Mio. €;Olympique Lyon;France;French;Romance;FC Basel 1893;Switzerland;German;Germanic;France;Paris;48.856614;2.352222
Switzerland;Bern;46.947974;7.447447;Zugänge 18/19;Jonas Omlin;2,00 Mio. €;FC Luzern;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 18/19;Julian Von Moos;1,30 Mio. €;GC Zürich U18;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 18/19;Martin Hansen;250 Tsd. €;FC Ingolstadt;Germany;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Germany;Berlin;52.520007;13.404954
Switzerland;Bern;46.947974;7.447447;Zugänge 18/19;Edon Zhegrova;Leihe;KRC Genk;Belgium;French;Romance;FC Basel 1893;Switzerland;German;Germanic;Belgium;Brussels;50.85034;4.35171
Switzerland;Bern;46.947974;7.447447;Zugänge 18/19;Konstantinos Dimitriou;ablösefrei;PAOK Saloniki;Greece;Greek;Hellenic;FC Basel 1893;Switzerland;German;Germanic;Greece;Athens;37.983917;23.72936
Switzerland;Bern;46.947974;7.447447;Zugänge 18/19;Carlos Zambrano;Leihe;Dynamo Kiew;Ukraine;Ukrainian;Slavic;FC Basel 1893;Switzerland;German;Germanic;Ukraine;Kiev;50.4501;30.5234
Switzerland;Bern;46.947974;7.447447;Zugänge 18/19;Gezim Pepsi;-;FC Basel U21;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 18/19;Martin Liechti;-;FC Basel U21;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 18/19;Omar Gaber;Leih-Ende;Los Angeles FC;United States;English;Germanic;FC Basel 1893;Switzerland;German;Germanic;United States;Washington;38.907192;-77.036871
Switzerland;Bern;46.947974;7.447447;Zugänge 18/19;Pedro Pacheco;Leih-Ende;SC YF Juventus;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 18/19;Robin Huser;-;FC Basel U21;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 18/19;Djordje Nikolic;Leih-Ende;FC Thun;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 18/19;Pedro Pacheco;Leih-Ende;Rapperswil-Jona;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 18/19;Dominik Schmid;Leih-Ende;Lausanne-Sport;Switzerland;French;Romance;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
England;London;51.507351;-0.127758;Abgänge 18/19;Mohamed Elyounoussi;18,00 Mio. €;FC Basel 1893;Switzerland;German;Germanic;FC Southampton;England;English;Germanic;Switzerland;Bern;46.947974;7.447447
Spain;Madrid;40.416775;-3.70379;Abgänge 18/19;Tomas Vaclík;6,00 Mio. €;FC Basel 1893;Switzerland;German;Germanic;FC Sevilla;Spain;Spanish;Romance;Switzerland;Bern;46.947974;7.447447
Germany;Berlin;52.520007;13.404954;Abgänge 18/19;Michael Lang;2,80 Mio. €;FC Basel 1893;Switzerland;German;Germanic;Bor. M'gladbach;Germany;German;Germanic;Switzerland;Bern;46.947974;7.447447
Sweden;Stockholm;59.329323;18.068581;Abgänge 18/19;Alexander Fransson;1,00 Mio. €;FC Basel 1893;Switzerland;German;Germanic;IFK Norrköping;Sweden;Swedish;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 18/19;Cedric Itten;430 Tsd. €;FC Basel 1893;Switzerland;German;Germanic;FC St. Gallen;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
USA;Washington;38.907192;-77.036871;Abgänge 18/19;Omar Gaber;300 Tsd. €;FC Basel 1893;Switzerland;German;Germanic;Los Angeles FC;USA;English;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 18/19;Davide Callà;ablösefrei;FC Basel 1893;Switzerland;German;Germanic;FC Winterthur;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 18/19;Mirko Salvi;ablösefrei;FC Basel 1893;Switzerland;German;Germanic;Grasshoppers;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 18/19;Pedro Pacheco;Leihe;FC Basel 1893;Switzerland;German;Germanic;SC YF Juventus;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 18/19;Djordje Nikolic;Leihe;FC Basel 1893;Switzerland;German;Germanic;FC Aarau;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Spain;Madrid;40.416775;-3.70379;Abgänge 18/19;Neftali Manzambi;Leihe;FC Basel 1893;Switzerland;German;Germanic;Sporting Gijón;Spain;Spanish;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 18/19;Dereck Kutesa;?;FC Basel 1893;Switzerland;German;Germanic;FC St. Gallen;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 18/19;Gezim Pepsi;Leihe;FC Basel 1893;Switzerland;German;Germanic;FC Aarau;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Italy;Rome;41.902784;12.496366;Abgänge 18/19;Dimitri Oberlin;Leihe;FC Basel 1893;Switzerland;German;Germanic;FC Empoli;Italy;Italian;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 18/19;Afimico Pululu;Leihe;FC Basel 1893;Switzerland;German;Germanic;NE Xamax;Switzerland;French;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 18/19;Geoffroy Serey Dié;Leihe;FC Basel 1893;Switzerland;German;Germanic;NE Xamax;Switzerland;French;Romance;Switzerland;Bern;46.947974;7.447447
;;;;Abgänge 18/19;Germano Vailati;-;FC Basel 1893;Switzerland;German;Germanic;Karriereende;Karriereende;Karriereende;Karriereende;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 18/19;Martin Liechti;Leihe;FC Basel 1893;Switzerland;German;Germanic;FC Aarau;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 18/19;Dominik Schmid;Leihe;FC Basel 1893;Switzerland;German;Germanic;FC Wil 1900;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Ricky van Wolfswinkel;3,50 Mio. €;Vitesse Arnheim;Netherlands;Dutch;Germanic;FC Basel 1893;Switzerland;German;Germanic;Netherlands;Amsterdam;52.370216;4.895168
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Fabian Frei;1,50 Mio. €;1.FSV Mainz 05;Germany;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Germany;Berlin;52.520007;13.404954
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Albian Ajeti;1,39 Mio. €;FC St. Gallen;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Dimitri Oberlin;;RB Salzburg;Austria;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Austria;Vienna;48.208174;16.373819
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Valentin Stocker;ablösefrei;Hertha BSC;Germany;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Germany;Berlin;52.520007;13.404954
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Samuele Campo;?;Lausanne-Sport;Switzerland;French;Romance;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Léo Lacroix;Leihe;AS St.-Étienne;France;French;Romance;FC Basel 1893;Switzerland;German;Germanic;France;Paris;48.856614;2.352222
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Cedric Itten;Leih-Ende;FC Luzern;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Dominik Schmid;-;FC Basel U21;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Afimico Pululu;-;FC Basel U21;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Neftali Manzambi;-;FC Basel U21;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Yannick Marchand;-;FC Basel U18;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Yves Kaiser;-;FC Basel U21;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Noah Okafor;-;FC Basel U21;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Signori Antonio;-;Vereinslos;Vereinslos;Vereinslos;Vereinslos;FC Basel 1893;Switzerland;German;Germanic;;;;
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Andraz Sporar;Leih-Ende;Arm. Bielefeld;Germany;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Germany;Berlin;52.520007;13.404954
Switzerland;Bern;46.947974;7.447447;Zugänge 17/18;Djordje Nikolic;Leih-Ende;FC Schaffhausen;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Germany;Berlin;52.520007;13.404954;Abgänge 17/18;Manuel Akanji;21,50 Mio. €;FC Basel 1893;Switzerland;German;Germanic;Bor. Dortmund;Germany;German;Germanic;Switzerland;Bern;46.947974;7.447447
Germany;Berlin;52.520007;13.404954;Abgänge 17/18;Renato Steffen;1,75 Mio. €;FC Basel 1893;Switzerland;German;Germanic;VfL Wolfsburg;Germany;German;Germanic;Switzerland;Bern;46.947974;7.447447
Netherlands;Amsterdam;52.370216;4.895168;Abgänge 17/18;Jean-Paul Boëtius;1,50 Mio. €;FC Basel 1893;Switzerland;German;Germanic;Feyenoord;Netherlands;Dutch;Germanic;Switzerland;Bern;46.947974;7.447447
Slovakia;Bratislava;48.145892;17.107137;Abgänge 17/18;Andraz Sporar;600 Tsd. €;FC Basel 1893;Switzerland;German;Germanic;Slo. Bratislava;Slovakia;Slovak;Slavic;Switzerland;Bern;46.947974;7.447447
Czech Republic;Prague;50.075538;14.4378;Abgänge 17/18;Marc Janko;ablösefrei;FC Basel 1893;Switzerland;German;Germanic;Sparta Prag;Czech Republic;Czech;Slavic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Nicolas Hunziker;ablösefrei;FC Basel 1893;Switzerland;German;Germanic;FC Thun;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Netherlands;Amsterdam;52.370216;4.895168;Abgänge 17/18;Daniel Höegh;ablösefrei;FC Basel 1893;Switzerland;German;Germanic;SC Heerenveen;Netherlands;Dutch;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Eray Cömert;Leihe;FC Basel 1893;Switzerland;German;Germanic;FC Sion;Switzerland;French;Romance;Switzerland;Bern;46.947974;7.447447
Germany;Berlin;52.520007;13.404954;Abgänge 17/18;Andraz Sporar;Leihe;FC Basel 1893;Switzerland;German;Germanic;Arm. Bielefeld;Germany;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Djordje Nikolic;Leihe;FC Basel 1893;Switzerland;German;Germanic;FC Schaffhausen;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Turkey;Ankara;39.933364;32.859742;Abgänge 17/18;Adama Traoré;?;FC Basel 1893;Switzerland;German;Germanic;Göztepe;Turkey;Turkish;Turkic;Switzerland;Bern;46.947974;7.447447
USA;Washington;38.907192;-77.036871;Abgänge 17/18;Omar Gaber;Leihe;FC Basel 1893;Switzerland;German;Germanic;Los Angeles FC;USA;English;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Pedro Pacheco;Leihe;FC Basel 1893;Switzerland;German;Germanic;Rapperswil-Jona;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Cedric Itten;Leihe;FC Basel 1893;Switzerland;German;Germanic;FC St. Gallen;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Dominik Schmid;Leihe;FC Basel 1893;Switzerland;German;Germanic;Lausanne-Sport;Switzerland;French;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Djordje Nikolic;Leihe;FC Basel 1893;Switzerland;German;Germanic;FC Thun;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Alexander Fransson;Leihe;FC Basel 1893;Switzerland;German;Germanic;Lausanne-Sport;Switzerland;French;Romance;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Abgänge 17/18;Dereck Kutesa;Leihe;FC Basel 1893;Switzerland;German;Germanic;FC Luzern;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
;;;;Abgänge 17/18;Veljko Simic;-;FC Basel 1893;Switzerland;German;Germanic;Vereinslos;Vereinslos;Vereinslos;Vereinslos;Switzerland;Bern;46.947974;7.447447
;;;;Abgänge 17/18;Matías Delgado;-;FC Basel 1893;Switzerland;German;Germanic;Karriereende;Karriereende;Karriereende;Karriereende;Switzerland;Bern;46.947974;7.447447
Switzerland;Bern;46.947974;7.447447;Zugänge 16/17;Éder Balanta;3,50 Mio. €;River Plate;Argentina;Spanish;Romance;FC Basel 1893;Switzerland;German;Germanic;Argentina;Buenos Aires;-34.603684;-58.381559
Switzerland;Bern;46.947974;7.447447;Zugänge 16/17;Mohamed Elyounoussi;3,20 Mio. €;Molde;Norway;Norwegian;Germanic;FC Basel 1893;Switzerland;German;Germanic;Norway;Oslo;59.913869;10.752245
Switzerland;Bern;46.947974;7.447447;Zugänge 16/17;Seydou Doumbia;;AS Rom;Italy;Italian;Romance;FC Basel 1893;Switzerland;German;Germanic;Italy;Rome;41.902784;12.496366
Switzerland;Bern;46.947974;7.447447;Zugänge 16/17;Blas Riveros;1,70 Mio. €;Olimpia;Paraguay;Spanish;Romance;FC Basel 1893;Switzerland;German;Germanic;Paraguay;Asuncion;-25.26374;-57.575926
Switzerland;Bern;46.947974;7.447447;Zugänge 16/17;Omar Gaber;1,65 Mio. €;Zamalek;Egypt;Arabic;Semitic;FC Basel 1893;Switzerland;German;Germanic;Egypt;Cairo;30.04442;31.235712
Switzerland;Bern;46.947974;7.447447;Zugänge 16/17;Kevin Bua;1,50 Mio. €;FC Zürich;Switzerland;German;Germanic;FC Basel 1893;Switzerland;German;Germanic;Switzerland;Bern;46.947974;7.447447
