ID;value
Tochigi SC;Japonic
Kyoto Sanga;Japonic
FK Ventspils;Baltic
Skonto;Baltic
Dinamo Tiflis;South Caucasian
Osmanlispor;Turkic
Gaziantepspor;Turkic
Manisaspor;Turkic
Y. Malatyaspor;Turkic
Inter Baku;Turkic
JS Suning;Sinitic
BJ Guoan;Sinitic
Renhe Reserve;Sinitic
Pune City;Indo-Iranian
Esteghlal FC ;Indo-Iranian
pausiert;pausiert
Karriereende;Karriereende
HJK Helsinki;Finnic
Ferencváros;Ugric
WAFA SC;0
KF Tirana;Albanian
FC Besa;Albanian
Sporting;Romance
Acad. Coimbra;Romance
Estoril Praia;Romance
Leixões;Romance
Fluminense U20;Romance
Goiás EC;Romance
Fluminense;Romance
Boavista Porto;Romance
Fortaleza EC B;Romance
Vila Nova FC;Romance
FC Santos;Romance
Flamengo;Romance
Coritiba FC U20;Romance
Kabuscorp SC;Romance
Arapongas;Romance
Athletico-PR;Romance
AS Livorno;Romance
Azzurri LS;Romance
Chieti;Romance
Sampdoria;Romance
Neapel U19;Romance
AC Florenz;Romance
FC Crotone;Romance
Calcio Padova;Romance
Sambenedettese;Romance
Parma;Romance
Ternana;Romance
AC Mailand;Romance
AC Mailand U19;Romance
BEJUNE U18;Romance
FC Bavois;Romance
Stade Gabèsien;
Nîmes Olympique;Romance
Olymp. Lyon B;Romance
Servette U21;Romance
Saint-Étienne B;Romance
Stade Reims;Romance
Olymp. Lyon U19;Romance
US Boulogne;Romance
Stade Brest 29;Romance
Meyrin FC;Romance
Athletic Adjamé;Romance
Etoile Filante;Romance
Servette U17;Romance
La Vitréenne FC;Romance
Le Mans FC;Romance
Esperance;Romance
Stade-Lausanne;Romance
Team Vaud U21;Romance
Xamax II;Romance
OGC Nizza;Romance
FC Tours;Romance
AS Nancy;Romance
Thonon Évian;Romance
Team Vaud U18;Romance
Team Vaud U16;Romance
KV Kortrijk;Romance
AC Arles;Romance
AS Cannes;Romance
AS Monaco B;Romance
Stade Laval;Romance
FC Brügge;Romance
AS Kaloum;Romance
FC Le Mans B;Romance
Yverdon-Sports FC II (U21);Romance
KAC Kénitra;Romance
Olymp. Genève;Romance
FC San Pedro;Romance
SO Cholet;Romance
USM Algier;Romance
Niarry Tally;Romance
Martigny-Sports;Romance
FC Sion U18;Romance
KAA Gent;Romance
Stand. Lüttich;Romance
FC Aigle;Romance
ES Troyes AC;Romance
FC Monthey;Romance
R. Straßburg;Romance
FC Metz;Romance
Standard Res.;Romance
SCO Angers B;Romance
RC Grasse;Romance
Xamax FCS U21;Romance
Royal Mouscron;Romance
FC Donneloye;Romance
FC Portalban;Romance
SR Delémont;Romance
Xamax Jugend;Romance
FC Alle;Romance
FC Serrières;Romance
FC Baulmes;Romance
Grenoble;
Dijon;
Cercle Brügge;
AC Le Havre;
FC Sierre;
Fréjus-St-Raph.;
Pau FC;
Chaux-de-Fonds;
Stade-Payerne;
FC Echallens;
FC Colombier;
FC Corcelles;
Le Locle Sports;
FC Bassecourt;
FC Toulouse;
Lancy FC;
CS Chênois;
Kawkab Marrakech;
US Orléans;
Vevey United;
CA Bastia;
LB Châteauroux;
Rennes B;
CS Sfaxien;
Dessel Sport;
FC Prilly;
CD Toledo;Romance
FC Elche;Romance
R. Majadahonda;Romance
Badajoz 1905;Romance
Zamora;Romance
Rayo Vallecano;Romance
Rac. Santander;Romance
Newell's II;Romance
FC Girona;Romance
Sport. Cristal;Romance
Táchira;Romance
Guarani;Romance
UD San Fernando;Romance
